0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:10 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:11 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:53 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:53 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:53 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:53 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:54 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:54 +0500] "OPTIONS /VIM/allMenu HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:54 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:41:54 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:42:39 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:25 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:45:26 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:46:02 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:47:35 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:47:35 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:47:35 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:47:35 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:03 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:03 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:03 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:04 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:04 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:04 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
